2020-04-15 08:03:10 - INFO: ___Sample,_lat_deg,_lon_deg,_CPU_Temp,_____Temp,____Press,____Humid,_____Roll,____Pitch,______Yaw,_____MagX,_____MagY,_____MagZ,_____AccX,_____AccY,_____AccZ,____GyroX,____GyroY,____GyroZ
2020-04-15 08:22:04 - INFO: 113,36.0079,114.8442,30.4,26.27,992.59,42.59,22.7896,75.0291,78.2471,26.0149,-16.1651,47.9748,-0.0012,0.0049,0.0151,0.2377,0.2027,0.076
2020-04-15 08:22:14 - INFO: 114,35.5916,115.4124,30.4,26.15,992.55,42.55,327.5735,164.0097,121.065,25.4111,-16.0424,48.4735,-0.001,0.0058,0.0139,0.2362,0.2064,0.077
2020-04-15 08:22:24 - INFO: 115,35.1722,115.9742,30.4,26.13,992.54,42.91,329.2197,336.2158,28.4874,24.9604,-15.8365,48.6619,-0.0017,0.0044,0.0158,0.2331,0.2058,0.0767
2020-04-15 08:22:35 - INFO: 116,34.7075,116.5851,30.4,26.15,992.56,43.08,22.6879,74.4466,79.4146,24.7349,-15.8129,49.6173,-0.0002,0.0063,0.0161,0.2338,0.2027,0.0767
2020-04-15 08:22:45 - INFO: 117,34.282,117.134,30.4,26.17,992.57,42.37,328.0157,163.0839,122.7829,24.2773,-15.913,49.9095,-0.0015,0.0046,0.0132,0.2325,0.2036,0.0754
2020-04-15 08:22:55 - INFO: 118,33.8537,117.6769,29.86,26.22,992.55,42.51,328.6326,335.3321,30.1173,23.936,-16.2739,50.5935,-0.0015,0.0053,0.0139,0.235,0.2,0.077
2020-04-15 08:23:05 - INFO: 119,33.4227,118.2139,30.4,26.22,992.57,42.59,23.6162,73.6469,80.5309,23.7561,-16.5102,50.9392,-0.0005,0.0061,0.0139,0.2331,0.2055,0.0776
2020-04-15 08:23:15 - INFO: 120,32.989,118.7452,30.4,26.18,992.59,42.54,328.7775,162.7246,124.4655,23.1553,-16.7932,51.5982,-0.001,0.0066,0.0166,0.2331,0.2061,0.0776
2020-04-15 08:23:25 - INFO: 121,32.5527,119.2709,30.4,26.15,992.52,42.49,328.9401,334.1721,32.345,22.7737,-16.5394,51.6769,-0.0012,0.0066,0.0144,0.231,0.2033,0.076
2020-04-15 08:23:35 - INFO: 122,32.1138,119.791,29.86,26.08,992.59,43.19,23.9632,73.5621,82.3179,22.1093,-16.5502,52.0186,-0.001,0.0058,0.0168,0.2289,0.2048,0.077
2020-04-15 08:23:46 - INFO: 123,31.6726,120.3058,30.4,26.15,992.57,42.42,329.1912,163.7873,125.4627,21.5805,-16.5945,52.002,-0.0017,0.0046,0.0158,0.2389,0.207,0.0785
2020-04-15 08:23:56 - INFO: 124,31.1844,120.8659,30.94,26.13,992.55,43.02,329.2429,333.6552,33.7795,20.9583,-16.4266,51.8578,-0.001,0.0053,0.0154,0.2328,0.2061,0.0767
2020-04-15 08:24:06 - INFO: 125,30.7382,121.3696,29.86,26.11,992.54,42.95,24.5948,72.9919,83.2079,20.6714,-16.552,52.1352,-0.0017,0.0051,0.0132,0.2341,0.2076,0.077
